state,isMetro,parent_count,child_count,needs_childcare,total_cost,median_family_income
1,True,2,0,0,51672.1644,77252.234375
1,True,2,1,1,65240.004,77252.234375
1,True,2,2,1,80777.6772,77252.234375
1,True,2,3,1,95198.5896,77252.234375
1,True,2,4,1,102091.266,77252.234375
1,True,1,0,0,34369.9392,42555.77734375
1,True,1,1,1,48067.6524,42555.77734375
1,True,1,2,1,63528.4272,42555.77734375
1,True,1,3,1,77662.1076,42555.77734375
1,True,1,4,1,83862.4572,42555.77734375
1,True,2,0,0,48740.2092,42555.77734375
1,True,2,1,1,61310.3784,42555.77734375
1,True,2,2,1,76785.6444,42555.77734375
1,True,2,3,1,88621.0608,42555.77734375
1,True,2,4,1,95019.1464,42555.77734375
1,False,1,0,0,34866.6216,50030.046875
1,False,1,1,1,48205.0896,50030.046875
1,False,1,2,1,62808.8088,50030.046875
1,False,1,3,1,75660.4272,50030.046875
1,False,1,4,1,81388.1724,50030.046875
1,False,2,0,0,47506.2744,50030.046875
1,False,2,1,1,61480.242,50030.046875
1,False,2,2,1,75329.1384,50030.046875
1,False,2,3,1,86778.8088,50030.046875
1,False,2,4,1,92754.8436,50030.046875
1,True,1,0,0,36782.7396,87831.6171875
1,True,1,1,1,53693.3616,87831.6171875
1,True,1,2,1,71531.9652,87831.6171875
1,True,1,3,1,88739.7768,87831.6171875
1,True,1,4,1,96193.746,87831.6171875
1,True,2,0,0,53088.0996,87831.6171875
1,True,2,1,1,67952.1684,87831.6171875
1,True,2,2,1,84677.1792,87831.6171875
1,True,2,3,1,100873.524,87831.6171875
1,True,2,4,1,107873.3556,87831.6171875
1,False,1,0,0,34345.3212,60636.1328125
1,False,1,1,1,47363.646,60636.1328125
1,False,1,2,1,61656.24,60636.1328125
1,False,1,3,1,75860.9292,60636.1328125
1,False,1,4,1,82106.976,60636.1328125
1,False,2,0,0,48089.9184,60636.1328125
1,False,2,1,1,60210.3108,60636.1328125
1,False,2,2,1,73761.6504,60636.1328125
1,False,2,3,1,87383.7012,60636.1328125
1,False,2,4,1,93027.8436,60636.1328125
1,False,1,0,0,34482.894,49576.1875
1,False,1,1,1,47675.3376,49576.1875
1,False,1,2,1,62188.9392,49576.1875
1,False,1,3,1,76281.984,49576.1875
1,False,1,4,1,82023.9432,49576.1875
