state,isMetro,parent_count,child_count,needs_childcare,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes
10,True,1,2,1,9994.930680000001,6888.92616,12837.1032,10301.65104,6142.153560000001,10724.74512,6295.40988
10,True,1,3,1,13243.689,9190.13016,13352.0004,12904.7364,8213.428319999999,11961.839339999999,8053.03488
10,True,1,4,1,13243.689,11249.34192,13749.0648,15507.8226,8976.66762,11961.839339999999,7692.6288
10,True,2,0,0,8485.7439,5848.977,13201.3626,10190.95968,5255.6781,0.0,7298.76966
10,True,2,1,1,9994.930680000001,7279.641,13909.441200000001,12794.046,6289.2825,6704.18844,8187.39036
10,True,2,2,1,9994.930680000001,9219.507539999999,14662.858199999999,15397.1316,6979.75008,10724.74512,7825.593720000001
10,True,2,3,1,13243.689,11256.31824,14994.409800000001,18000.2166,8979.237659999999,11961.839339999999,8698.85928
10,True,2,4,1,13243.689,13775.0364,15137.431199999999,20603.3022,9906.70788,11961.839339999999,8191.01952
11,False,1,0,0,13344.0,5022.7815,11600.80518,4701.2802,6655.00944,0.0,9584.26758
11,False,1,1,1,20226.0,7375.70724,12602.1672,7062.8862,10001.18736,8225.19948,13329.25626
11,False,1,2,1,20226.0,10368.862799999999,13444.9002,9424.49268,11085.72552,16865.4168,16944.168
11,False,1,3,1,27060.0,13975.082999999999,14286.215400000001,11786.09988,14868.628799999999,19523.9448,23316.726000000002
11,False,1,4,1,27060.0,17203.9416,14597.952,14147.7072,16038.571800000002,19523.9448,24302.0472
11,False,2,0,0,15804.0,9208.43226,14137.322400000001,9402.56028,9062.990819999999,0.0,11837.70696
11,False,2,1,1,20226.0,11435.381819999999,14929.9428,11764.16676,11472.16704,8225.19948,14845.019400000001
11,False,2,2,1,20226.0,14060.7582,15779.787,14125.7724,12423.443940000001,16865.4168,17417.058
11,False,2,3,1,27060.0,17252.6976,16067.154600000002,16487.3784,16056.2388,19523.9448,23102.4882
11,False,2,4,1,27060.0,21180.3114,16461.1266,18848.9856,17479.3662,19523.9448,24363.165
11,True,1,0,0,15856.38,5015.81508,11341.07964,4616.37996,7699.12644,0.0,10789.84788
11,True,1,1,1,21269.8752,7365.47748,12168.6768,6927.8262,10575.87816,9005.19504,14305.3668
11,True,1,2,1,21269.8752,10354.48164,12487.71,9239.2734,11740.13964,17836.6212,18138.4224
11,True,1,3,1,29540.1588,13955.7,13424.0772,11550.71928,16139.5164,20553.984,25572.3756
11,True,1,4,1,29540.1588,17180.082,14075.7588,13862.166,17395.4616,20553.984,26659.9068
11,True,2,0,0,16900.668,9195.66132,13718.982,9232.76004,9705.62544,0.0,12352.5276
11,True,2,1,1,21269.8752,11419.52124,14478.1116,11544.20652,12154.9872,9005.19504,15620.6556
11,True,2,2,1,21269.8752,14041.2588,14859.7944,13855.6524,13176.1932,17836.6212,18835.9764
11,True,2,3,1,29540.1588,17228.7672,15439.0836,16167.0996,17414.4252,20553.984,25524.7176
11,True,2,4,1,29540.1588,21150.936,15843.3972,18478.5468,18942.168,20553.984,26810.61
12,False,1,0,0,6228.0,3039.912,11420.20272,4950.69,3371.2875599999998,0.0,5515.75194
12,False,1,1,1,8580.0,4480.09128,12181.1454,7360.49856,4754.13702,6884.81796,6086.9121
12,False,1,2,1,8580.0,6564.0828,13407.288,9770.30784,5510.34486,10361.48142,6339.14868
12,False,1,3,1,11592.0,8756.77512,13940.806199999999,12180.1164,7373.65686,11431.22424,7860.529500000001
12,False,1,4,1,11592.0,10718.88576,14226.2628,14589.9252,8085.06408,11431.22424,7584.78918
12,False,2,0,0,6630.0,5573.172,13453.578,9901.37988,4447.08474,0.0,6352.49412
12,False,2,1,1,8580.0,6936.37428,14719.697400000001,12311.1888,5645.931119999999,6884.81796,7837.3710599999995
12,False,2,2,1,8580.0,8784.76752,15218.059799999999,14720.9976,6313.66776,10361.48142,7620.99204
12,False,2,3,1,11592.0,10725.53316,15475.0572,17130.8076,8087.509980000001,11431.22424,8286.74196
12,False,2,4,1,11592.0,13125.4824,15558.6318,19540.6152,8941.488659999999,11431.22424,7762.48464
12,True,1,0,0,6470.94432,3112.53768,11350.4604,4741.34988,3478.83876,0.0,5500.25976
12,True,1,1,1,9672.0,4587.1242,12194.4936,7290.26952,5156.68428,8889.95436,7112.81616
12,True,1,2,1,9672.0,6720.90384,13174.8996,9839.18844,5915.44332,13677.0276,7662.62916
12,True,1,3,1,12780.0,8965.9812,13894.8108,12388.1076,7962.59688,15149.9736,10118.71068
12,True,1,4,1,12780.0,10974.96756,14369.754,14937.0264,8654.13504,15149.9736,10259.2266
12,True,2,0,0,7493.42652,5706.31932,13400.1396,9482.69976,4762.11252,0.0,6667.83984
12,True,2,1,1,9672.0,7102.0884,14412.4896,12031.6188,6052.18032,8889.95436,8524.21068
12,True,2,2,1,9672.0,8994.64164,15170.2524,14580.5388,6749.51436,13677.0276,8676.9456
12,True,2,3,1,12780.0,10981.77468,15597.4188,17129.4576,8656.47804,15149.9736,9843.64092
12,True,2,4,1,12780.0,13439.0616,16108.866,19678.3764,9502.3308,15149.9736,9737.0706
13,False,1,0,0,6876.0,3278.53968,12100.8666,5049.2802,3761.34702,0.0,5993.0019
13,False,1,1,1,9372.0,4831.7706,12843.8418,7583.7978,5176.63692,5940.24186,5450.398499999999
13,False,1,2,1,9372.0,7079.35182,13613.7084,10118.31444,6017.66346,12057.087,5795.3496
